domain	last_responding_IP	server_ip	block_level	crawler_block_type	traceroute_block_type	block_status_code	lri_country	srv_country	lri_location_category	lri_comparison	lri_distance	merged_hops	min_diff	ref_ip	cdn_str	final_label
youmeandtrends.com	66.198.70.2	104.18.49.232	HTTP	Blockpage	HTTP-TracerouteComplete	200-Empty-page	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
adkengage.com	149.6.128.82	68.66.248.44	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	1	68.66.248.44	CDN_False	HTTP-Serverside-Blocking
hungrygowhere.com	66.198.70.2	104.20.70.44	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER:ABUSE_BLOCKED-CAPTCHA	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
movieeater.site	66.198.70.2	104.18.33.62	HTTP	NoResponse	HTTP-TracerouteComplete	N/A	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
skybet.com	63.243.128.25	23.66.223.131	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	1	1	23.66.223.131	CDN_True	HTTP-Serverside-Blocking
dizist.pw	66.198.70.2	172.67.199.45	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
lufthansa.com	5.23.30.17	67.207.75.188	HTTP	Blockpage	HTTP-TracerouteComplete	405-OTHER	ERR	US	ERR	FROM_TEST	CLOSE_TO_SERVER	0	0	67.207.75.188	CDN_True	HTTP-Serverside-Blocking
ictsystems.com.pk	162.241.144.61	192.185.143.10	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
octaglobal.com	172.253.65.85	23.251.139.94	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	8	1	23.251.139.94	CDN_True	HTTP-Serverside-Blocking
myeventarticle.com	209.85.244.65	216.239.34.21	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	34.120.10.192	CDN_True	HTTP-Serverside-Blocking
awehobrasp.live	91.121.215.119	51.89.187.136	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	FR	GB	ELSEWHERE	FROM_CONTROL	CLOSE_TO_SERVER	4	1	N/A	CDN_False	HTTP-Serverside-Blocking
faridagupta.com	52.95.67.178	13.126.66.12	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	5	1	3.6.118.31	CDN_True	HTTP-Serverside-Blocking
controller.com	66.198.70.2	104.16.151.51	HTTP	Blockpage	HTTP-TracerouteComplete	405-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
