domain	last_responding_IP	server_ip	block_level	crawler_block_type	traceroute_block_type	block_status_code	lri_country	srv_country	lri_location_category	lri_comparison	lri_distance	merged_hops	min_diff	ref_ip	cdn_str	final_label
sports24.club	66.198.70.2	104.31.11.190	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER:ABUSE_BLOCKED-CAPTCHA	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
1xbet.com	192.99.146.151	5.196.121.188	HTTP	Blockpage	HTTP-TracerouteComplete	200-UNCAUGHT:GEO_BLOCKED-Other	CA	FR	ELSEWHERE	FROM_TEST	CLOSE_TO_SERVER	6	1	5.196.121.188	CDN_False	HTTP-Serverside-Blocking
opendi.de	54.239.101.105	54.72.44.28	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	IE	ELSEWHERE	FROM_TEST	FAR_FROM_SERVER	4	5	52.84.137.5	CDN_True	HTTP-Censorship
cpu-world.com	209.59.157.59	67.227.202.57	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
mangable.com	209.59.157.243	67.227.226.241	HTTP	Blockpage	HTTP-TracerouteComplete	404-OTHER	US	US	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	0	1	N/A	CDN_False	HTTP-Serverside-Blocking
indiankanoon.org	66.198.70.2	172.67.73.189	HTTP	Blockpage	HTTP-TracerouteComplete	503-OTHER:ABUSE_BLOCKED-BV	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
aryzap.com	52.93.10.97	3.0.198.247	HTTP	Blockpage	HTTP-TracerouteComplete	200-UNCAUGHT:GEO_BLOCKED-Other	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	5	1	54.251.99.37	CDN_True	HTTP-Serverside-Blocking
homeadvisor.com	66.198.70.2	104.16.9.28	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
rarejob.com.ph	27.0.0.158	54.238.138.120	HTTP	Blockpage	HTTP-TracerouteComplete	403-OTHER	JP	JP	SAME_AS_SERVER	FROM_CONTROL	CLOSE_TO_SERVER	6	1	N/A	CDN_True	HTTP-Serverside-Blocking
akidoo.top	66.198.70.2	104.28.15.118	HTTP	Blockpage	HTTP-TracerouteComplete	520-OTHER	US	US	SAME_AS_SERVER	FROM_TEST	CLOSE_TO_SERVER	0	0	104.27.140.115	CDN_True	HTTP-Serverside-Blocking
